"Any_Alta","Tipus _Equipament","Tipologia_Sigles","Subtipologia_Sigles","Nom ","Adreca ","Latitud","Longitud","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Potencia_kWp  "," Energia_Produeix_ kWh ","Nombre_Llars_Subministrament","Emissions_ Estalviades_KgCO2eq","Tipus_Connexio"
2021,"Educació","Coberta ","IES","IES Ernest Lluch","Carrer de la Diputació, 11-15","41.378314858300094","2.1503365848985507","02","Eixample ","09","la Nova Esquerra de l'Eixample","25.84",32300,14,11628,"Autoconsum"
2021,"Educació","Coberta ",,"Roger AE PAV2 i EBM","Carrer Roger, 48-64","41.37741894238277","2.1282073845654144","03","Sants-Montjuic ","17","Sants - Badal","29.16",36450,16,13122,"Autoconsum compartit"
2021,"Educació","Coberta ","ESC","Escola Nabí","Carrer dels Reis Catòlics, 38","41.41626113303973","2.101412701252529","05","Sarrià-Sant Gervasi","22","Vallvidrera, el Tibidabo i les Planes","44.9",56125,24,20205,"Autoconsum"
2021,"Espai públic","Pèrgoles i espai públic ",,"Cobertura Ronda de Dalt","Passeig Vall d'Hebrón, 103","41.42456345719034","2.14220072017269","07","Horta-Guinardó ","39","Sant Genís dels Agudells",50,62500,27,22500,"Connexió a xarxa"
2021,"Espai públic","Pèrgoles i espai públic ",,"Pilar Miró ","Plaça Pilar Miró ","41.44797383890816","2.2018961473109","09","Sant Andreu","58","Baró de Viver",92,115000,50,41400,"Autoconsum"
2021,"Oficines","Coberta ","OFED","Seu Central Barcelona Activa","Carrer Llacuna, 162","41.406620031369236","2.192814753873412","10","Sant Martí","71","Provençals del Poblenou","30.82",38525,17,13869,"Autoconsum"
2020,"Instal·lació esportiva","Coberta ","CX","Pavelló Poliesportiu Camp del Ferro","Plaça Albert Badia i Mur","41.4283877541502","2.1938748538741115","09","Sant Andreu","61","la Sagrera","51.06",63825,28,22977,"Autoconsum"
2020,"Educació","Coberta ","ESC","CEIP Alexandre Galí (IESM Narcís Monturiol)","Passeig Marítim de la Barceloneta, 11","41.38125896340694","2.1933547561871913","01","Ciutat Vella","03","la Barceloneta","45.25","56562.5",25,20363,"Autoconsum"
2020,"Habitatge","Coberta ",,"HPO Solar Germanetes LLS IMHAB","Carrer Comte Borrell, 159","41.382787092683294","2.1551144278404735","02","Eixample ","09","la Nova Esquerra de l'Eixample","11.76",14700,6,5292,"Autoconsum"
2020,"Habitatge","Coberta ",,"HPO Solar Germanetes. Gent Gran IMHAB","Carrer Viladomat, 142","41.38255355576632","2.1545257528169826","02","Eixample ","09","la Nova Esquerra de l'Eixample",18,22500,10,8100,"Autoconsum"
